TIME             CONTAINER_ID  UID    COMM             PID/host        TID/host        RET              EVENT                ARGS
07:50:51:310649  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster, mode: 511
07:50:51:311142  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/controllers, mode: 511
07:50:51:311177  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/controllers/plugin, mode: 511
07:50:51:311910  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/convert, mode: 511
07:50:51:313514  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/executor, mode: 511
07:50:51:313594  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/executor/container, mode: 511
07:50:51:316613  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/cluster/provider, mode: 511
07:50:51:317664  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/config, mode: 511
07:50:51:320228  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/containerd, mode: 511
07:50:51:324491  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/events, mode: 511
07:50:51:325038  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/events/testutils, mode: 511
07:50:51:325932  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver, mode: 511
07:50:51:325968  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/aufs, mode: 511
07:50:51:326519  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/btrfs, mode: 511
07:50:51:327407  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/copy, mode: 511
07:50:51:327890  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/devmapper, mode: 511
07:50:51:329806  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/fuse-overlayfs, mode: 511
07:50:51:330502  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/graphtest, mode: 511
07:50:51:331338  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/overlay, mode: 511
07:50:51:331514  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/overlay2, mode: 511
07:50:51:333394  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/overlayutils, mode: 511
07:50:51:333668  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/register, mode: 511
07:50:51:335082  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/vfs, mode: 511
07:50:51:335644  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/windows, mode: 511
07:50:51:336876  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/graphdriver/zfs, mode: 511
07:50:51:337827  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/images, mode: 511
07:50:51:341297  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/initlayer, mode: 511
07:50:51:342076  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/links, mode: 511
07:50:51:343221  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/listeners, mode: 511
07:50:51:343436  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger, mode: 511
07:50:51:343569  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/awslogs, mode: 511
07:50:51:344629  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/etwlogs, mode: 511
07:50:51:344754  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/fluentd, mode: 511
07:50:51:345609  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/gcplogs, mode: 511
07:50:51:345761  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/gelf, mode: 511
07:50:51:347792  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald, mode: 511
07:50:51:347860  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald/internal, mode: 511
07:50:51:347892  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald/internal/export, mode: 511
07:50:51:347998  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald/internal/export/testdata, mode: 511
07:50:51:348071  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald/internal/fake, mode: 511
07:50:51:348154  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/journald/internal/sdjournal, mode: 511
07:50:51:348640  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/jsonfilelog, mode: 511
07:50:51:350122  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/jsonfilelog/jsonlog, mode: 511
07:50:51:350432  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/local, mode: 511
07:50:51:351565  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/logentries, mode: 511
07:50:51:351763  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/loggertest, mode: 511
07:50:51:352642  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/loggerutils, mode: 511
07:50:51:352688  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/loggerutils/cache, mode: 511
07:50:51:354790  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/splunk, mode: 511
07:50:51:355788  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/syslog, mode: 511
07:50:51:355925  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/logger/templates, mode: 511
07:50:51:357070  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/names, mode: 511
07:50:51:357191  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/network, mode: 511
07:50:51:361063  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/stats, mode: 511
07:50:51:362099  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon/testdata, mode: 511
07:50:51:363308  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution, mode: 511
07:50:51:363870  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution/fixtures, mode: 511
07:50:51:363907  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution/fixtures/validate_manifest, mode: 511
07:50:51:364510  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution/metadata, mode: 511
07:50:51:365998  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution/utils, mode: 511
07:50:51:366074  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /distribution/xfer, mode: 511
